actual,proposed
-3.461209535598755,-3.464747428894043
-3.461209535598755,-3.461209535598755
-3.461209535598755,-3.461209535598755
-3.4576711654663086,-3.461209535598755
-3.6787192821502686,-3.4576711654663086
-3.6824653148651123,-3.6787192821502686
-3.6824653148651123,-3.6824653148651123
-3.6824653148651123,-3.6824653148651123
-3.6824653148651123,-3.6824653148651123
-3.880425453186035,-3.6824653148651123
-3.8725829124450684,-3.880425453186035
-3.8647384643554688,-3.8725829124450684
-3.8686609268188477,-3.8647384643554688
-3.8686609268188477,-3.8686609268188477
-3.8686609268188477,-3.8686609268188477
-4.008702278137207,-3.8686609268188477
-4.00465202331543,-4.008702278137207
-4.000600337982178,-4.00465202331543
-3.996548652648926,-4.000600337982178
-3.996548652648926,-3.996548652648926
-4.058136940002441,-3.996548652648926
-4.058136940002441,-4.058136940002441
-4.054023742675781,-4.058136940002441
-4.049910068511963,-4.054023742675781
-4.049910068511963,-4.049910068511963
-4.1889519691467285,-4.049910068511963
-4.1931915283203125,-4.1889519691467285
-4.1931915283203125,-4.1931915283203125
-4.1931915283203125,-4.1931915283203125
-4.1889519691467285,-4.1931915283203125
-4.37698221206665,-4.1889519691467285
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.463987827301025,-4.37698221206665
-4.459506988525391,-4.463987827301025
-4.459506988525391,-4.459506988525391
-4.459506988525391,-4.459506988525391
-4.455025672912598,-4.459506988525391
-4.815515041351318,-4.455025672912598
-4.820308685302734,-4.815515041351318
-4.815515041351318,-4.820308685302734
-4.810719966888428,-4.815515041351318
-4.805923938751221,-4.810719966888428
-5.2202839851379395,-4.805923938751221
-5.20997428894043,-5.2202839851379395
-5.204817771911621,-5.20997428894043
-5.204817771911621,-5.204817771911621
-5.19965934753418,-5.204817771911621
-5.19965934753418,-5.19965934753418
-5.446568489074707,-5.19965934753418
-5.441202640533447,-5.446568489074707
-5.441202640533447,-5.441202640533447
-5.451932907104492,-5.441202640533447
-5.441202640533447,-5.451932907104492
-5.690828323364258,-5.441202640533447
-5.685257911682129,-5.690828323364258
-5.690828323364258,-5.685257911682129
-5.679686069488525,-5.690828323364258
-5.679686069488525,-5.679686069488525
-5.9930572509765625,-5.679686069488525
-5.987244129180908,-5.9930572509765625
-5.981428623199463,-5.987244129180908
-5.987244129180908,-5.981428623199463
-5.987244129180908,-5.987244129180908
-6.31361722946167,-5.987244129180908
-6.301506042480469,-6.31361722946167
-6.301506042480469,-6.301506042480469
-6.28938627243042,-6.301506042480469
-6.283323287963867,-6.28938627243042
-6.610625743865967,-6.283323287963867
-6.604323387145996,-6.610625743865967
-6.604323387145996,-6.604323387145996
-6.604323387145996,-6.604323387145996
-6.598017692565918,-6.604323387145996
-6.591710090637207,-6.598017692565918
-6.822286128997803,-6.591710090637207
-6.81581974029541,-6.822286128997803
-6.8028788566589355,-6.81581974029541
-6.796403884887695,-6.8028788566589355
-6.796403884887695,-6.796403884887695
-7.195815563201904,-6.796403884887695
-7.20253324508667,-7.195815563201904
-7.195815563201904,-7.20253324508667
-7.195815563201904,-7.195815563201904
-7.195815563201904,-7.195815563201904
-7.369630813598633,-7.195815563201904
-7.376453876495361,-7.369630813598633
-7.376453876495361,-7.376453876495361
-7.369630813598633,-7.376453876495361
-7.362804889678955,-7.369630813598633
-7.464915752410889,-7.362804889678955
-7.451131343841553,-7.464915752410889
-7.437332630157471,-7.451131343841553
-7.437332630157471,-7.437332630157471
-7.4442338943481445,-7.437332630157471
-7.451131343841553,-7.4442338943481445
-7.60559606552124,-7.451131343841553
-7.612579822540283,-7.60559606552124
-7.626534461975098,-7.612579822540283
-7.626534461975098,-7.626534461975098
-7.619559288024902,-7.626534461975098
-7.7700581550598145,-7.619559288024902
-7.762994289398193,-7.7700581550598145
-7.755927085876465,-7.762994289398193
-7.755927085876465,-7.755927085876465
-7.762994289398193,-7.755927085876465
-7.708244800567627,-7.762994289398193
-7.687028884887695,-7.708244800567627
-7.665777206420898,-7.687028884887695
-7.651590824127197,-7.665777206420898
-7.644491195678711,-7.651590824127197
-7.71612548828125,-7.644491195678711
-7.730384826660156,-7.71612548828125
-7.730384826660156,-7.730384826660156
-7.70898962020874,-7.730384826660156
-7.694705486297607,-7.70898962020874
-7.687557697296143,-7.694705486297607
-7.7137603759765625,-7.687557697296143
-7.706593990325928,-7.7137603759765625
-7.699423789978027,-7.706593990325928
-7.692249298095703,-7.699423789978027
-7.706593990325928,-7.692249298095703
-7.77522087097168,-7.706593990325928
-7.768012523651123,-7.77522087097168
-7.77522087097168,-7.768012523651123
-7.782426357269287,-7.77522087097168
-7.782426357269287,-7.782426357269287
-7.877930164337158,-7.782426357269287
-7.8851752281188965,-7.877930164337158
-7.899653911590576,-7.8851752281188965
-7.914114475250244,-7.899653911590576
-7.92133903503418,-7.914114475250244
-7.90435791015625,-7.92133903503418
-7.918760299682617,-7.90435791015625
-7.933145523071289,-7.918760299682617
-7.940331935882568,-7.933145523071289
-7.954692840576172,-7.940331935882568
-7.976202487945557,-7.954692840576172
-8.069795608520508,-7.976202487945557
-8.076990127563477,-8.0
-8.084179878234863,-8.0
-8.091364860534668,-8.0
-8.098546981811523,-8.0
-8.157495498657227,-8.0
-8.179054260253906,-8.0
-8.200573921203613,-8.0
-8.222055435180664,-8.0
-8.243497848510742,-8.0
-8.281332969665527,-8.0
-8.288481712341309,-8.0
-8.302766799926758,-8.0
-8.302766799926758,-8.0
-8.317034721374512,-8.0
-8.535489082336426,-8.0
-8.549919128417969,-8.0
-8.564332008361816,-8.0
-8.57872486114502,-8.0
-8.585914611816406,-8.0
-8.585914611816406,-8.0
-8.678116798400879,-8.0
-8.678116798400879,-8.0
-8.678116798400879,-8.0
-8.670896530151367,-8.0
-8.670896530151367,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.622970581054688,-8.0
-8.562996864318848,-8.0
-8.570172309875488,-8.0
-8.570172309875488,-8.0
-8.562996864318848,-8.0
-8.570172309875488,-8.0
-8.634302139282227,-8.0
-8.634302139282227,-8.0
-8.64867877960205,-8.0
-8.64867877960205,-8.0
-8.655858993530273,-8.0
-8.655858993530273,-8.0
-8.782989501953125,-8.0
-8.775749206542969,-8.0
-8.76850414276123,-8.0
-8.775749206542969,-8.0
-8.775749206542969,-8.0
-8.722200393676758,-8.0
-8.736632347106934,-8.0
-8.743842124938965,-8.0
-8.729418754577637,-8.0
-8.714977264404297,-8.0
-8.79126262664795,-8.0
-8.784004211425781,-8.0
-8.776740074157715,-8.0
-8.769472122192383,-8.0
-8.776740074157715,-8.0
-8.795136451721191,-8.0
-8.787860870361328,-8.0
-8.773295402526855,-8.0
-8.773295402526855,-8.0
-8.766005516052246,-8.0
-8.751410484313965,-8.0
-8.78587532043457,-8.0
-8.778533935546875,-8.0
-8.771186828613281,-8.0
-8.756478309631348,-8.0
-8.749115943908691,-8.0
-8.79182243347168,-8.0
-8.784445762634277,-8.0
-8.784445762634277,-8.0
-8.77706527709961,-8.0
-8.77706527709961,-8.0
-8.776637077331543,-8.0
-8.776637077331543,-8.0
-8.769259452819824,-8.0
-8.754488945007324,-8.0
-8.732295989990234,-8.0
-8.71284008026123,-8.0
-8.698003768920898,-8.0
-8.668272972106934,-8.0
-8.64592170715332,-8.0
-8.61605167388916,-8.0
-8.617321968078613,-8.0
-8.594791412353516,-8.0
-8.564679145812988,-8.0
-8.549592971801758,-8.0
-8.542043685913086,-8.0
-8.51936149597168,-8.0
-8.516014099121094,-8.0
-8.500802040100098,-8.0
-8.493188858032227,-8.0
-8.470318794250488,-8.0
-8.462685585021973,-8.0
-8.44764518737793,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.424683570861816,-8.0
-8.350308418273926,-8.0
-8.350308418273926,-8.0
-8.357948303222656,-8.0
-8.365584373474121,-8.0
-8.373214721679688,-8.0
-8.380840301513672,-8.0
-8.235908508300781,-8.0
-8.250985145568848,-8.0
-8.273563385009766,-8.0
-8.296099662780762,-8.0
-8.311100006103516,-8.0
-8.356457710266113,-8.0
-8.378911972045898,-8.0
-8.401322364807129,-8.0
-8.423690795898438,-8.0
-8.431137084960938,-8.0
-8.393301010131836,-8.0
-8.415485382080078,-8.0
-8.452363967895508,-8.0
-8.481781959533691,-8.0
-8.525768280029297,-8.0
-8.464110374450684,-8.0
-8.493075370788574,-8.0
-8.521966934204102,-8.0
-8.543587684631348,-8.0
-8.557978630065918,-8.0
-8.572351455688477,-8.0
-8.53104019165039,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.506413459777832,-8.0
-8.492142677307129,-8.0
-8.485000610351562,-8.0
-8.477853775024414,-8.0
-8.470703125,-8.0
-8.412928581237793,-8.0
-8.398649215698242,-8.0
-8.39150333404541,-8.0
-8.39150333404541,-8.0
-8.398649215698242,-8.0
-8.309181213378906,-8.0
-8.294936180114746,-8.0
-8.3020601272583,-8.0
-8.31629753112793,-8.0
-8.31629753112793,-8.0
-8.215087890625,-8.0
-8.208011627197266,-8.0
-8.208011627197266,-8.0
-8.215087890625,-8.0
-8.222160339355469,-8.0
-8.229228973388672,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.26047420501709,-8.0
-8.222904205322266,-8.0
-8.22994327545166,-8.0
-8.222904205322266,-8.0
-8.215862274169922,-8.0
-8.215862274169922,-8.0
-8.208462715148926,-8.0
-8.208462715148926,-8.0
-8.194372177124023,-8.0
-8.180264472961426,-8.0
-8.166141510009766,-8.0
-8.026017189025879,-8.0
-8.005006790161133,-8.0
-8.005006790161133,-8.0
-7.99098014831543,-8.0
-7.976938247680664,-7.99098014831543
-7.976938247680664,-7.976938247680664
-7.849761962890625,-7.976938247680664
-7.856727123260498,-7.849761962890625
-7.856727123260498,-7.856727123260498
-7.842792987823486,-7.856727123260498
-7.842792987823486,-7.842792987823486
-7.726785182952881,-7.842792987823486
-7.726785182952881,-7.726785182952881
-7.726785182952881,-7.726785182952881
-7.699121475219727,-7.726785182952881
-7.685266971588135,-7.699121475219727
-7.526437282562256,-7.685266971588135
-7.498922348022461,-7.526437282562256
-7.478249549865723,-7.498922348022461
-7.457544326782227,-7.478249549865723
-7.436807155609131,-7.457544326782227
-7.252095699310303,-7.436807155609131
-7.231594562530518,-7.252095699310303
-7.2179107666015625,-7.231594562530518
-7.211063861846924,-7.2179107666015625
-7.1836419105529785,-7.211063861846924
-6.997929573059082,-7.1836419105529785
-6.984393119812012,-6.997929573059082
-6.970844745635986,-6.984393119812012
-6.9640655517578125,-6.970844745635986
-6.943708419799805,-6.9640655517578125
-6.936916351318359,-6.943708419799805
-6.732686996459961,-6.936916351318359
-6.719359397888184,-6.732686996459961
-6.712690830230713,-6.719359397888184
-6.69266939163208,-6.712690830230713
-6.6859893798828125,-6.69266939163208
-6.561649799346924,-6.6859893798828125
-6.568248271942139,-6.561649799346924
-6.568248271942139,-6.568248271942139
-6.568248271942139,-6.568248271942139
-6.561649799346924,-6.568248271942139
-6.473837375640869,-6.561649799346924
-6.493385314941406,-6.473837375640869
-6.512909889221191,-6.493385314941406
-6.525912284851074,-6.512909889221191
-6.545396327972412,-6.525912284851074
